LSOA code (2011),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01004574,34.9,5928
E01004575,29.4,8305
E01004576,26.6,9829
E01004577,14.3,19652
E01004579,18.9,15348
E01004580,18.7,15480
E01004581,15.4,18520
E01004582,9.0,25733
E01004583,12.3,21872
E01004584,32.1,7042
E01004585,10.1,24327
E01004586,10.2,24309
E01004587,8.5,26459
E01004588,12.9,21164
E01004589,7.6,27504
E01004590,25.4,10520
E01004591,18.6,15550
E01004592,25.6,10399
E01004593,8.5,26376
E01004594,5.2,30272
E01004595,8.2,26770
E01004596,6.1,29297
E01004597,12.0,22210
E01004598,8.3,26755
E01004599,3.6,31858
E01004600,27.9,9097
E01004601,19.4,14917
E01004602,9.6,25029
E01004604,7.8,27298
E01004605,12.6,21436
E01004606,6.0,29425
E01004607,6.9,28435
E01004608,15.7,18238
E01004609,11.2,23061
E01004610,19.9,14415
E01004611,15.9,18072
E01004612,21.0,13529
E01004613,32.5,6866
E01004614,17.5,16536
E01004615,37.1,5177
E01004616,16.2,17793
E01004617,22.7,12245
E01004618,13.3,20722
E01004619,13.6,20376
E01004620,13.6,20379
E01004621,16.2,17769
E01004622,21.1,13491
E01004623,8.8,25996
E01004624,19.5,14815
E01004625,7.6,27625
E01004626,14.0,19942
E01004627,10.1,24322
E01004628,23.4,11763
E01004629,8.7,26152
E01004630,29.9,8066
E01004631,20.8,13693
E01004632,8.4,26566
E01004633,26.3,10006
E01004634,12.9,21202
E01004635,13.2,20830
E01004636,15.7,18240
E01004637,14.9,19001
E01004638,6.7,28633
E01004639,10.4,24017
E01004640,5.2,30360
E01004641,19.7,14652
E01004642,22.2,12645
E01004643,21.8,12940
E01004644,18.2,15979
E01004645,28.7,8654
E01033093,12.5,21599
E01033098,17.5,16588
E01033099,21.2,13403
E01033100,27.1,9545
E01033101,8.3,26739
E01033132,29.5,8273
E01033133,12.8,21289
E01033135,5.7,29855
E01004646,14.4,19570
E01004647,16.3,17624
E01004648,10.5,23935
E01004649,6.4,29012
E01004650,6.0,29514
E01004651,9.2,25503
E01004652,15.9,18062
E01004653,10.8,23503
E01004654,12.8,21266
E01004656,23.6,11625
E01004657,11.5,22741
E01004658,15.6,18296
E01004659,7.6,27574
E01004660,8.6,26318
E01004661,20.2,14144
E01004662,12.0,22170
E01004663,18.0,16131
E01004665,36.5,5376
E01004666,26.1,10123
E01004667,30.1,7987
E01004668,18.4,15757
E01004669,30.9,7591
E01004670,48.0,2488
E01004674,34.3,6143
E01004675,33.0,6646
E01004676,21.2,13382
E01004677,22.9,12092
E01004678,24.7,10961
E01004679,32.1,7034
E01004680,11.0,23309
E01004681,12.1,22113
E01004682,14.2,19698
E01004683,8.6,26341
E01004684,21.3,13307
E01004686,23.8,11469
E01004687,7.0,28371
E01004688,5.3,30198
E01004689,16.0,17986
E01004690,5.4,30073
E01004691,11.0,23381
E01004692,6.6,28779
E01004693,12.6,21478
E01004694,8.5,26491
E01004695,12.7,21342
E01004696,32.4,6924
E01004697,16.2,17722
E01004698,20.0,14384
E01004699,14.7,19200
E01004700,11.3,22989
E01004701,9.4,25245
E01004702,42.1,3687
E01004703,10.5,23871
E01004705,5.3,30175
E01004706,7.4,27823
E01004707,3.9,31583
E01004708,22.9,12143
E01004709,20.1,14236
E01004710,31.1,7483
E01004711,24.3,11199
E01004712,11.1,23263
E01004713,7.5,27672
E01004714,10.3,24181
E01004715,15.8,18090
E01004716,7.4,27864
E01004717,12.0,22125
E01004718,29.8,8120
E01004719,28.6,8731
E01004720,32.0,7066
E01004721,38.5,4722
E01004722,36.0,5553
E01004723,29.3,8354
E01004724,10.9,23490
E01004725,27.2,9498
E01004726,9.4,25261
E01004727,10.1,24363
E01004728,14.9,19059
E01004729,25.6,10420
E01004730,6.6,28806
E01004731,10.0,24520
E01004732,43.7,3324
E01004733,18.2,15991
E01004734,30.2,7933
E01004735,35.3,5794
E01004736,9.7,24862
E01004737,20.2,14145
E01004738,9.5,25164
E01004739,9.4,25205
E01004740,33.6,6426
E01004741,20.6,13839
E01004742,11.2,23098
E01004743,20.8,13668
E01004744,25.5,10482
E01004745,16.2,17777
E01004746,27.7,9216
E01004747,22.2,12655
E01004748,8.8,26006
E01004749,13.2,20814
E01004750,18.9,15320
E01004751,10.4,24060
E01004752,22.5,12381
E01004753,16.4,17568
E01004754,45.9,2865
E01004755,28.6,8689
E01004756,22.8,12183
E01004757,40.5,4110
E01004760,25.0,10773
E01004761,8.5,26464
E01004762,10.5,23921
E01004763,23.4,11768
E01004765,18.7,15472
E01032512,43.7,3326
E01032513,35.8,5605
E01033593,26.9,9625
E01033594,29.3,8369
E01033595,17.6,16446
E01033596,25.7,10393
E01033597,26.9,9671
E01033598,52.2,1850
E01033599,30.6,7759
E01033600,10.9,23435
E01033601,32.2,7015
E01033602,41.0,3978
E01033603,38.1,4851
E01033604,33.5,6478
E01033605,40.5,4098
E01033606,14.0,19938
E01033607,22.2,12626
E01033608,15.1,18794
